latitud,longitud,victimas,genero,franja_horaria,fecha
-34.68095739,-58.49413799,1.0,0,3,2017-05-05
-34.65326075,-58.37547846,1.0,1,20,2017-05-05
-34.58689719,-58.48680218,1.0,0,21,2017-05-07
-34.57962262,-58.49563989,1.0,1,8,2017-05-09
-34.59915940,-58.38403232,1.0,1,23,2017-05-09
-34.62693865,-58.38223382,1.0,0,9,2017-05-11
-34.67323292,-58.45966521,1.0,1,7,2017-05-13
-34.59871111,-58.39303911,1.0,1,13,2017-05-15
-34.63395999,-58.51262106,1.0,1,16,2017-05-15
-34.61646839,-58.38118367,1.0,0,10,2017-05-17
-34.60582475,-58.37653284,1.0,1,5,2017-05-20
-34.64035082,-58.37709334,1.0,1,16,2017-05-22
-34.60409469,-58.46002142,1.0,1,18,2017-05-22
-34.62801894,-58.43381970,1.0,1,2,2017-05-23
-34.66437532,-58.43580656,1.0,1,19,2017-05-27
-34.65997463,-58.52173071,1.0,1,14,2017-05-29
-34.59804273,-58.50791763,1.0,1,13,2017-05-30
-34.58226957,-58.49175088,1.0,1,23,2017-06-03
-34.60425669,-58.40781467,1.0,1,9,2017-06-04
-34.63787791,-58.52567073,1.0,1,12,2017-06-04
-34.60906385,-58.38154200,1.0,1,22,2017-06-12
-34.57805810,-58.38526125,1.0,0,14,2017-06-13
-34.58451712,-58.42934104,1.0,0,23,2017-06-17
-34.61781124,-58.40657493,1.0,1,16,2017-06-19
-34.64487785,-58.49525314,1.0,0,10,2017-06-22
-34.62932696,-58.39092851,1.0,1,22,2017-06-25
-34.64564271,-58.49603546,1.0,1,0,2017-07-04
-34.58703485,-58.38502878,1.0,0,12,2017-07-05
-34.63150425,-58.37261143,1.0,1,14,2017-07-07
-34.63905965,-58.51876802,1.0,0,7,2017-07-09
-34.61516101,-58.41095567,1.0,0,10,2017-07-10
-34.62519403,-58.36797542,1.0,1,22,2017-07-10
-34.64787051,-58.51514709,1.0,1,12,2017-07-13
-34.59171721,-58.51925642,1.0,1,5,2017-07-15
-34.54321216,-58.48671535,1.0,1,13,2017-07-15
-34.62282019,-58.38268809,1.0,1,22,2017-07-24
-34.54966288,-58.43633522,1.0,1,16,2017-07-25
-34.61765855,-58.52640838,1.0,0,8,2017-07-27
-34.59778875,-58.41894306,1.0,1,8,2017-08-06
-34.54972741,-58.46756026,1.0,1,19,2017-08-07
-34.63132912,-58.45715752,1.0,0,12,2017-08-08
-34.56213916,-58.42406784,1.0,1,19,2017-08-17
-34.61512051,-58.39674470,1.0,0,7,2017-08-21
-34.57084818,-58.44537508,1.0,0,10,2017-08-23
-34.65107080,-58.40056767,1.0,1,1,2017-08-24
-34.61853244,-58.38109568,1.0,0,9,2017-08-25
-34.58035258,-58.42533612,1.0,0,19,2017-08-31
-34.54395182,-58.46062311,1.0,1,11,2017-09-01
-34.54795581,-58.49491054,2.0,1,4,2017-09-02
-34.54795581,-58.49491054,2.0,1,4,2017-09-02
-34.63665402,-58.47130269,1.0,1,21,2017-09-04
-34.60189492,-58.37048800,1.0,1,14,2017-09-06
-34.64234110,-58.42023854,1.0,0,18,2017-09-07
-34.63997430,-58.45807401,2.0,1,9,2017-09-10
-34.63997430,-58.45807401,2.0,1,9,2017-09-10
-34.59573848,-58.37697717,1.0,0,6,2017-09-11
-34.58498660,-58.39100580,1.0,1,2,2017-09-15
-34.63089661,-58.42182126,1.0,1,18,2017-09-19
-34.58075791,-58.51389422,1.0,1,22,2017-09-20
-34.65232158,-58.37585415,1.0,0,7,2017-09-22
-34.66245085,-58.47297505,1.0,1,15,2017-10-02
-34.67216349,-58.46855503,1.0,0,1,2017-10-10
-34.59185043,-58.44254033,1.0,1,14,2017-10-12
-34.67926929,-58.46622247,1.0,1,6,2017-10-13
-34.68148508,-58.48003734,2.0,1,6,2017-10-14
-34.68148508,-58.48003734,2.0,1,6,2017-10-14
-34.59800248,-58.41192137,1.0,1,7,2017-10-16
-34.61349731,-58.44034689,1.0,0,12,2017-10-17
-34.64925746,-58.47155277,1.0,1,19,2017-10-26
-34.59967065,-58.47883099,1.0,1,5,2017-10-27
-34.69374130,-58.46552171,1.0,1,14,2017-10-30
-34.66777987,-58.44239720,1.0,0,18,2017-11-06
-34.59626814,-58.47032551,1.0,1,12,2017-11-07
-34.65522746,-58.41827843,1.0,1,8,2017-11-16
-34.59279388,-58.51280715,1.0,0,11,2017-11-17
-34.64385704,-58.46258582,1.0,1,10,2017-11-19
-34.68003614,-58.45064148,1.0,0,22,2017-11-19
.,.,1.0,1,23,2017-11-19
-34.62513374,-58.42717783,1.0,0,19,2017-11-23
-34.60724519,-58.46442001,1.0,1,21,2017-11-25
-34.69843756,-58.47064556,1.0,0,6,2017-11-26
-34.61223119,-58.41677733,1.0,1,17,2017-11-26
-34.67450313,-58.50251790,1.0,1,11,2017-11-28
-34.62438894,-58.40708125,1.0,0,10,2017-11-29
-34.61477051,-58.36947198,1.0,1,12,2017-11-30
-34.63934531,-58.51140889,1.0,1,1,2017-12-04
-34.65559133,-58.37460912,1.0,1,2,2017-12-04
-34.65073916,-58.41146277,1.0,1,17,2017-12-06
-34.61829385,-58.42855267,2.0,1,2,2017-12-11
-34.61829385,-58.42855267,2.0,1,2,2017-12-11
-34.63412287,-58.39035581,1.0,1,9,2017-12-11
-34.62656868,-58.45593915,1.0,1,21,2017-12-12
-34.64597065,-58.52866211,1.0,1,9,2017-12-17
-34.59407024,-58.52037476,1.0,1,21,2017-12-18
-34.61799615,-58.38896772,1.0,1,4,2017-12-20
-34.62771756,-58.47074114,1.0,0,13,2017-12-22
-34.65969965,-58.48200819,1.0,0,15,2017-12-26
-34.62297346,-58.39536773,1.0,1,22,2018-01-01
-34.61895467,-58.37456088,1.0,0,16,2018-01-03
-34.60395657,-58.44860217,1.0,0,10,2018-01-05
-34.54332766,-58.46129513,1.0,1,9,2018-01-09
-34.61953517,-58.36907201,1.0,1,22,2018-01-09
-34.62499107,-58.44062219,1.0,0,21,2018-01-10
-34.63601265,-58.52502765,1.0,1,2,2018-01-11
-34.61687778,-58.36659655,1.0,0,17,2018-01-12
-34.62763661,-58.36737389,1.0,1,2,2018-01-14
-34.63038658,-58.49807953,1.0,1,5,2018-01-18
-34.59088447,-58.39092703,1.0,1,10,2018-01-19
-34.68049201,-58.46912006,1.0,1,13,2018-01-26
-34.56786129,-58.48661286,1.0,1,8,2018-01-28
-34.65080597,-58.44074927,1.0,1,20,2018-01-31
-34.64684275,-58.38636298,2.0,1,1,2018-02-06
